,Name,Price,Image,Link
0,TEE WITH SLEEVE PRINT,"Rs.2,750.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP046-BLACK-TEE-WITH-SLEEVE-PRINT_15.jpg?v=1718022061&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/tee-with-sleeve-print-was24tp046-black
1,FLOWY TOP,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP078-BEIGE-FLOWY-TOP_6.jpg?v=1717394110&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/flowy-top-was24tp078-beige
2,OVERSIZED T-SHIRT WITH PRINT,"Rs.2,750.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP043-BEIGE-OVERSIZED-T-SHIRT-WITH-PRINT_1.jpg?v=1718021204&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/oversized-t-shirt-with-print-was24tp043-beige
3,HIGH WAIST STRAIGHT JEANS,"Rs.6,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT021-LIGHT-BLUE-HIGH-WAIST-STRAIGHT-JEANS_5.jpg?v=1719999372&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/high-waist-straight-jeans-was24bt021-light-blue
4,AZTEC EMBROIDERED LINEN SHIRT,"Rs.7,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP104-OFF-WHITE-AZTEC-EMBROIDERED-LINEN-SHIRT_4.jpg?v=1717648471&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/aztec-embroidered-linen-shirt-was24tp104-off-white
5,KNIT STRAPPY TOP,"Rs.1,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP015-WHITE-KNIT-STRAPPY-TOP_3.jpg?v=1717499927&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/knit-strappy-top-was24tp015-white
6,TEE WITH SLEEVE PRINT,"Rs.2,750.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP046-ITLIAN-CLAY-TEE-WITH-SLEEVE-PRINT_1.jpg?v=1718021975&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/tee-with-sleeve-print-was24tp046-italian-clay
7,SCHIFFLI FERN CULOTTES,"Rs.3,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT106-WHITE-SCHIFFLI-FERN-CULOTTES_2.jpg?v=1717394115&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/schiffli-fern-culottes-was24bt106-white
8,FLOWY TOP,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP078-GREEN-FLOWY-TOP_4.jpg?v=1717396086&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/flowy-top-was24tp078-green
9,CROCHET SLEEVE BLOUSE,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP080-BLACK-CROCHET-SLEEVE-BLOUSE_12.jpg?v=1717394280&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/crochet-sleeve-blouse-was24tp080-black
10,OVERSIZED T-SHIRT WITH PRINT,"Rs.2,750.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP043-WHITE-OVERSIZED-T-SHIRT-WITH-PRINT_6.jpg?v=1718270989&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/oversized-t-shirt-with-print-was24tp043-white
11,SCHIFFLI FERN SHIRT,"Rs.6,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP106-WHITE-SCHIFFLI-FERN-SHIRT_3.jpg?v=1717397113&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/schiffli-fern-shirt-was24tp106-white
12,LONG FLOWY PANTS,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT019-BEIGE-LONG-FLOWY-PANTS_7_c7039e54-9827-406c-92ad-1bdb6ea02310.jpg?v=1717407443&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/long-flowy-pants-was24bt019-beige
13,LONG FLOWY PANTS,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT019-BLACK-LONG-FLOWY-PANTS_31.jpg?v=1717408660&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/long-flowy-pants-was24bt019-black
14,HIGH WAIST STRAIGHT JEANS,"Rs.6,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT021-MID-BLUE-HIGH-WAIST-STRAIGHT-JEANS_7.jpg?v=1719999498&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/high-waist-straight-jeans-was24bt021-mid-blue
15,FLOWY TOP,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP078-BLACK-FLOWY-TOP_2.jpg?v=1717394133&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/flowy-top-was24tp078-black
16,FLOWY TOP,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP078-PINK-FLOWY-TOP_2.jpg?v=1717406851&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/flowy-top-was24tp078-pink
17,LINEN LILY CULOTTES,"Rs.6,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT105-OFF-WHITE-LINEN-LILY-CULOTTES_10.jpg?v=1717394548&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/linen-lily-culottes-was24bt105-off-white
18,LONG TUNIC DRESS,"Rs.6,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24DR009-BLACK-LONG-TUNIC-DRESS_4.jpg?v=1717395312&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/long-tunic-dress-was24dr009-black
19,SAFARI SHIRT,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP077-WHITE-MUSLIN-SAFARI-SHIRT_1.jpg?v=1715755289&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/safari-shirt-was24tp077-white
20,TWO WAY STRIPED SHIRT,"Rs.6,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP004-BLUE-TWO-WAY-STRIPED-SHIRT_3.jpg?v=1715340128&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/two-way-striped-shirt-was24tp004-blue
21,EVERYDAY PLEATED BLOUSE,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP041-BLACK-EVERYDAY-PLEATED-BLOUSE_7.jpg?v=1715766719&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/everyday-pleated-blouse-was24tp041-black
22,SAFARI SHIRT,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP077-BLACK-MUSLIN-SAFARI-SHIRT_11.jpg?v=1715766849&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/safari-shirt-was24tp077-black
23,BLOOM PRINTED SHIRT,"Rs.3,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP091-MULTI-BLOOM-PRINTED-SHIRT_7.jpg?v=1715765304&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/bloom-printed-shirt-was24tp091-multi
24,KNIT STRAPPY TOP,"Rs.1,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP015-BLACK-KNIT-STRAPPY-TOP_3.jpg?v=1717499961&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/knit-strappy-top-was24tp015-black
25,STRAIGHT LEG PANTS,"Rs.6,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT012-WHITE-STRAIGHT-LEG-PANTS_1.jpg?v=1715755620&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/straight-leg-pants-was24bt012-white
26,FITTED PARTY TEE,"Rs.3,250.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP030-NAVY-EVENING-TEE_1.jpg?v=1715768619&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/fitted-party-tee-was24tp030-navy
27,SEMI-SHEER TEE,"Rs.3,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP020-COFFEE-HALF-MESH-SHIRT_19.jpg?v=1716446399&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/semi-sheer-tee-was24tp020-coffee
28,SAFARI SHIRT,"Rs.4,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP102-CAMEL-SAFARI-SHIRT_10.jpg?v=1715766178&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/safari-shirt-was24tp102-camel
29,SAFARI SHIRT,"Rs.4,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP102-NAVY-SAFARI-SHIRT_9_4be7c56c-e796-46a7-8cc1-043c248eab74.jpg?v=1715941796&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/safari-shirt-was24tp102-navy
30,WIDE LEG PANTS,"Rs.3,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT026-SEA-GREEN-CULOTTE-PANTS_17.jpg?v=1715858138&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-leg-pants-was24bt026-sea-green
31,ANKLE CROPPED SLIM JEANS,"Rs.6,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT056-MID-BLUE-ANKLE-CROPPED-SLIM-JEANS_14.jpg?v=1715755944&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/ankle-cropped-slim-jeans-was24bt056-mid-blue
32,EASY BREEZY PANTS,"Rs.4,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT102-NAVY-EASY-BREEZY-PANTS_6.jpg?v=1715766080&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/easy-breezy-pants-was24bt102-navy
33,OVERSIZED T-SHIRT WITH PRINT,"Rs.2,750.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP043-IVORY-OVERSIZED-T-SHIRT-WITH-PRINT_3.jpg?v=1715840823&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/oversized-t-shirt-with-print-was24tp043-ivory
34,TWO WAY STRIPED SHIRT,"Rs.6,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WS24TP004-WHITE-TWO-WAY-STRIPED-SHIRT_4.jpg?v=1715323148&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/two-way-striped-shirt-was24tp004-white
35,SAFARI SHIRT,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP077-NAVY-MUSLIN-SAFARI-SHIRT_4.jpg?v=1715766867&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/safari-shirt-was24tp077-navy
36,BOXER WAIST LOW RISE PANTS,"Rs.7,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT006-GREY-DOUBLE-WAIST-WIDE-LEG-PANTS_8.jpg?v=1715851432&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/boxer-waist-low-rise-pants-was24bt006-grey
37,OVERSIZED T-SHIRT WITH PRINT,"Rs.2,750.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP043-ITLIAN-CLAY-OVERSIZED-T-SHIRT-WITH-PRINT_4.jpg?v=1715835752&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/oversized-t-shirt-with-print-was24tp043-italian-clay
38,CROPPED BAND TOP,"Rs.4,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP038-OFF-WHITE-CROPPED-BAND-TOP_1_bf60bcfa-53b6-4769-b9fb-aae1015a2013.jpg?v=1715854955&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/cropped-band-top-was24tp038-off-white
39,EVERYDAY PLEATED BLOUSE,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP041-LIGHT-PINK-EVERYDAY-PLEATED-BLOUSE_9.jpg?v=1715766751&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/everyday-pleated-blouse-was24tp041-pink
40,WIDE STRIPED PANTS,"Rs.7,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT015-BLUE-WIDE-STRIPED-PANTS_10.jpg?v=1710913351&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-striped-pants-was24bt015-blue
41,BODYCON FORMAL DRESS,"Rs.7,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24DR019-BLACK-BODYCON-FORMAL-DRESS_14.jpg?v=1715839484&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/bodycon-formal-dress-was24dr019-black
42,SILICON HIGH CREW TEE,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP052-IVORY-SILICON-HIGH-CREW-TEE_2_a29862e5-239c-4f85-9223-62919fcd13bf.jpg?v=1715841426&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/silicon-high-crew-tee-was24tp052-ivory
43,SEMI-SHEER TEE,"Rs.3,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP020-BLACK-HALF-MESH-SHIRT_9.jpg?v=1715768189&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/semi-sheer-tee-was24tp020-black
44,STRIPED EASY PANTS,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT013-BEIGE-STRIPED-COTTON-PANTS_6.jpg?v=1710306436&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/striped-easy-pants-was24bt013-beige
45,TWO WAY STRIPED SHIRT,"Rs.6,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP004-BEIGE-TWO-WAY-STRIPED-SHIRT_1.jpg?v=1715757855&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/two-way-striped-shirt-was24tp004-beige
46,ASYMMETRICAL STRIPED TEE,"Rs.4,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP011-BLACK-ASYMMETRICAL-STRIPED-TEE_2.jpg?v=1716450085&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/asymmetrical-striped-tee-was24tp011-black
47,WIDE LEG PANTS,"Rs.3,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT026-BLACK-CULOTTE-PANTS_4.jpg?v=1715843581&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-leg-pants-was24bt026-black
48,CROPPED WIDE PANTS,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT020-IVORY-CROPPED-WIDE-PANTS_6.jpg?v=1715842686&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/cropped-wide-pants-was24bt020-ivory
49,STRIPED EASY PANTS,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT013-WHITE-STRIPED-COTTON-TROUSER_17.jpg?v=1710747689&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/striped-easy-pants-was24bt013-white
50,CROPPED WIDE PANTS,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT020-BLACK-CROPPED-WIDE-PANTS_1.jpg?v=1715755969&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/cropped-wide-pants-was24bt020-black
51,BOXER WAIST LOW RISE PANTS,"Rs.7,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT006-BLUE-BOXER-WAIST-LOW-RISE-PANTS_4.jpg?v=1718190644&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/boxer-waist-low-rise-pants-was24bt006-blue
52,LINEN LILY TUNIC,"Rs.7,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP105-OFF-WHITE-LINEN-LILY-TUNIC_11.jpg?v=1717394501&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/linen-lily-tunic-was24tp105-off-white
53,AZTEC LINEN CULOTTES,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT104-OFF-WHITE-AZTEC-LINEN-CULOTTES_7.jpg?v=1717394360&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/aztec-linen-culottes-was24bt104-off-white
54,BAND COLLAR SHIRT,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP113-BLACK-BAND-COLLAR-SHIRT_13.jpg?v=1720008613&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/band-collar-shirt-was24tp113-black
55,EASY BREEZY PANTS,"Rs.4,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT102-CAMEL-EASY-BREEZY-PANTS_8.jpg?v=1715766068&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/easy-breezy-pants-was24bt102-camel
56,WIDE ANKLE PANTS,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT113-ITLIAN-CLAY-WIDE-ANKLE-PANTS_9.jpg?v=1715765454&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-ankle-pants-was24bt113-italian-clay
57,ORGANIC COTTON TUNIC,"Rs.6,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP026-AQUA-ORGANIC-COTTON-TUNIC_11.jpg?v=1717477844&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/organic-cotton-tunic-was24tp026-aqua
58,WIDE ANKLE PANTS,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT113-COBLATE-BLUE-WIDE-ANKLE-PANTS_1.jpg?v=1715754093&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-ankle-pants-was24bt113-cobalt-blue
59,SCHIFFLI WILD ROSE CULOTTES,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT107-TEA-PINK-SCHIFFLI-WILD-ROSE-CULOTTES_2.jpg?v=1717397279&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/schiffli-wild-rose-culottes-was24bt107-tea-pink
60,SCHIFFLI BUTTERFLY CULOTTES,"Rs.4,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT108-SKIN-SCHIFFLI-BUTTERFLY-CULOTTES_2.jpg?v=1717396792&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/schiffli-butterfly-culottes-was24bt108-skin
61,PRINTED TUNIC DRESS,"Rs.7,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24DR008-BLACK-PRINTED-TUNIC-DRESS_7.jpg?v=1717395542&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/printed-tunic-dress-was24dr008-black
62,LONG FLOWY PANTS,"Rs.5,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT019-GREEN-LONG-FLOWY-PANTS_6.jpg?v=1717409080&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/long-flowy-pants-was24bt019-green
63,LONG FLOWY PANTS,"Rs.5,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT019-PINK-LONG-FLOWY-PANTS_9.jpg?v=1717408569&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/long-flowy-pants-was24bt019-pink
64,OVERSIZED T-SHIRT WITH PRINT,"Rs.2,750.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP043-BLACK-OVERSIZED-T-SHIRT-WITH-PRINT_12.jpg?v=1718022376&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/oversized-t-shirt-with-print-was24tp043-black
65,EVERYDAY PLEATED BLOUSE,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP041-GREEN-EVERYDAY-PLEATED-BLOUSE_15.jpg?v=1715778507&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/everyday-pleated-blouse-was24tp041-green
66,SILICON HIGH CREW TEE,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP052-BLACK-SILICON-HIGH-CREW-TEE_12_4ff741cb-1980-4306-b395-eb3e74fcecd9.jpg?v=1716445032&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/silicon-high-crew-tee-was24tp052-black
67,SCHIFFLI FERN SHIRT,"Rs.7,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP116-BLACK-SCHIFFLI-FERN-SHIRT_6.jpg?v=1717589323&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/schiffli-fern-shirt-was24tp116-black
68,SCHIFFLI BUTTERFLY SHIRT,"Rs.7,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP108-SKIN-SCHIFFLI-BUTTERFLY-SHIRT_8.jpg?v=1717396838&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/schiffli-butterfly-shirt-was24tp108-skin
69,LONG TUNIC DRESS,"Rs.6,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24DR009-GREEN-LONG-TUNIC-DRESS_5.jpg?v=1717649501&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/long-tunic-dress-was24dr009-green
70,BAND COLLAR LONG SHIRT,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/CRFWST0044-SEA-GREEN-BAND-COLLAR-LONG-SHIRT_7.jpg?v=1720088333&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/band-collar-long-shirt-crfwst0044-sea-green
71,BAND COLLAR LONG SHIRT,"Rs.5,450.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/CRFWST0044-TEA-PINK-BAND-COLLAR-LONG-SHIRT_5.jpg?v=1720088802&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/band-collar-long-shirt-crfwst0044-tea-pink
72,BASIC SILK SHIRT,"Rs.5,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP028-COFFEE-BASIC-SILK-SHIRT_12.jpg?v=1708422618&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/basic-silk-shirt-was24tp028-coffee
73,WIDE ANKLE PANTS,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT113-BLACK-WIDE-ANKLE-PANTS_7.jpg?v=1715765417&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-ankle-pants-was24bt113-black
74,WIDE ANKLE-CUT PANTS,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/CRFWSB0011-WIDE-ANKLE-CUT-PANTS-SEA-GREEN_2.jpg?v=1720089104&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-ankle-cut-pants-crfwsb0011-sea-green
75,WIDE ANKLE-CUT PANTS,"Rs.3,950.00",https://lamaretail.com//cdn.shopify.com/s/files/1/0537/9771/6146/files/CRFWSB0011-WIDE-ANKLE-CUT-PANTS-TEA-PINK_5.jpg?v=1720089177&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-ankle-cut-pants-crfwsb0011-tea-pink
76,CURVE JACKIE SHIRT,"Rs.7,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP190-WHITE-CURVE-JACKIE-SHIRT_7_9cb7a276-d7d5-4d20-b1fb-4b2f7c2eaccf.jpg?v=1714653364&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/curve-jackie-shirt-was24tp190-white
77,WIDE LEG PANTS,"Rs.3,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT026-SEA-GREEN-CULOTTE-PANTS_17.jpg?v=1715858138&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/wide-leg-pants-was24bt026-sea-green
78,TEE WITH SLEEVE PRINT,"Rs.2,750.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP046-ITLIAN-CLAY-TEE-WITH-SLEEVE-PRINT_1.jpg?v=1718021975&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/tee-with-sleeve-print-was24tp046-italian-clay
79,BOXER WAIST LOW RISE PANTS,"Rs.7,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT006-BLUE-BOXER-WAIST-LOW-RISE-PANTS_4.jpg?v=1718190644&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/boxer-waist-low-rise-pants-was24bt006-blue
80,PATCH POCKET SHIRT,"Rs.5,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP022-BLACK-PATCH-POCKET-SHIRT_23.jpg?v=1710748927&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/patch-pocket-shirt-was24tp022-black
81,CROPPED PARTY TOP,"Rs.4,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP031-GREEN-CROPPED-PARTY-TOP_28.jpg?v=1710915243&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/cropped-party-top-was24tp031-green
82,SHIRT WITH CONTRAST COLLAR,"Rs.7,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP034-BLUE-SHIRT-WITH-CONTRAST-COLLAR_16.jpg?v=1715758255&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/shirt-with-contrast-collar-was24tp034-blue
83,CURVE WIDE PANTS,"Rs.7,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT009-GREY-HIGH-WAIST-WIDE-LEG-PANTS_01_4d8f1ef0-0613-4b33-9a53-215c2dd060ce.jpg?v=1714372594&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/curve-wide-pants-was24bt009-grey
84,WIDE-NECK STRIPED TEE,"Rs.2,950.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP017-WHITE-WIDE-NECK-STRIPED-T-SHIRT_3.jpg?v=1708421795&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/wide-neck-striped-tee-was24tp017-white
85,CASUAL SHORTS,"Rs.2,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT029-LIGHT-BLUE-CASUAL-SHORTS_2.jpg?v=1715755132&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/casual-shorts-was24bt029-light-blue
86,SHORT SHIRT WITH STRETCHY BACK,"Rs.5,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24TP027-WHITE-SHORT-SHIRT-WITH-STRETCHY-BACK_7.jpg?v=1708422471&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/short-shirt-with-stretchy-back-was24tp027-white
87,JACKIE FORMAL TROUSERS,"Rs.6,450.00",https://lamaretail.com//lamaretail.com/cdn/shop/files/WAS24BT001-PINK-JACKIE-FORMAL-TROUSER_5.jpg?v=1708426978&width=1080,https://lamaretail.com/collections/woman-ss-24-all/products/jackie-formal-trouser-was24bt001-pink
